riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,19.897881499957293,21.895319000002928,return,18.391564600053243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,,,,,,,,,,,,,,,,,,40.308291299967095,42.31024330004584,v,0.7555186999961734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,43.12699739995878,43.12699739995878,43.12699739995878,43.12699739995878,43.12699739995878,43.12699739995878,43.12699739995878,45.09797590004746,45.09797590004746,45.09797590004746,v,1.3294951999559999,46.44465640000999,48.47199270001147,48.47199270001147,48.47199270001147,48.47199270001147,48.47199270001147,48.47199270001147,18.23,49.48049300001003,50.52949860005174,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,50.52949860005174,50.52949860005174,50.52949860005174,50.52949860005174,50.52949860005174,50.52949860005174,50.52949860005174,52.49987050006166,52.49987050006166,52.49987050006166,v,1.4698322999756783,53.99942360003479,55.02771100006066,55.02771100006066,55.02771100006066,55.02771100006066,55.02771100006066,55.02771100006066,53.27,56.032545499969274,59.06518340006005,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,59.06518340006005,59.06518340006005,59.06518340006005,59.06518340006005,59.06518340006005,59.06518340006005,59.06518340006005,61.053979699965566,61.053979699965566,61.053979699965566,n,1.9414885999867693,63.02036039996892,64.04823089996353,64.04823089996353,64.04823089996353,64.04823089996353,64.04823089996353,64.04823089996353,8.27,65.05481130001135,67.08360899996478,,,,,,,,,,,,,,,2,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,67.08360899996478,67.08360899996478,67.08360899996478,67.08360899996478,67.08360899996478,67.08360899996478,67.08360899996478,69.07188060006592,69.07188060006592,69.07188060006592,None,,71.07424119999632,74.1089978000382,74.1089978000382,74.1089978000382,74.1089978000382,74.1089978000382,74.1089978000382,nan,75.10962370003108,76.1268367000157,,,,,,,,,,,,,,,1,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1268367000157,76.1268367000157,n,2.789587700041011,,,,,,,,,,,,,,,,,,,,,,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,2,17.73,0.0,3.13,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.99560610007029,78.99560610007029,78.99560610007029,78.99560610007029,78.99560610007029,78.99560610007029,78.99560610007029,80.94776490004733,80.94776490004733,80.94776490004733,2,None,82.96343939995859,83.47231750003994,83.47231750003994,83.47231750003994,83.47231750003994,83.47231750003994,nan,nan,84.44751259998884,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,1,25.2,0.0,5.4,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.47145219997037,85.47145219997037,85.47145219997037,85.47145219997037,85.47145219997037,85.47145219997037,85.47145219997037,87.44948059995659,87.44948059995659,87.44948059995659,1,None,89.44871380005497,89.95231189997867,89.95231189997867,89.95231189997867,89.95231189997867,89.95231189997867,nan,nan,90.95061050006188,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,2,28.21,0.0,3.89,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96543410001323,91.96543410001323,91.96543410001323,91.96543410001323,91.96543410001323,91.96543410001323,91.96543410001323,93.95255270006601,93.95255270006601,93.95255270006601,2,None,95.95301940001082,96.4523257999681,96.4523257999681,96.4523257999681,96.4523257999681,96.4523257999681,nan,nan,97.4537910000654,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
,,,,,2,20.03,0.0,1.99,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47275680000894,98.47275680000894,98.47275680000894,98.47275680000894,98.47275680000894,98.47275680000894,98.47275680000894,100.45570190006401,100.45570190006401,100.45570190006401,2,None,102.45640959998127,102.95825979998335,102.95825979998335,102.95825979998335,102.95825979998335,102.95825979998335,nan,nan,103.95705440000165,,001,2023-04-20_14h56.45.289,CGTriskyDMtask,2022.2.4,167.79874889159683,
